Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,Return/Average,Return/Std,Return/Median,Return/Min,Return/Max,NonzeroRewards/Average,NonzeroRewards/Std,NonzeroRewards/Median,NonzeroRewards/Min,NonzeroRewards/Max,DiscountedReturn/Average,DiscountedReturn/Std,DiscountedReturn/Median,DiscountedReturn/Min,DiscountedReturn/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,grad_norm_model/Average,grad_norm_model/Std,grad_norm_model/Median,grad_norm_model/Min,grad_norm_model/Max,grad_norm_actor/Average,grad_norm_actor/Std,grad_norm_actor/Median,grad_norm_actor/Min,grad_norm_actor/Max,grad_norm_value/Average,grad_norm_value/Std,grad_norm_value/Median,grad_norm_value/Min,grad_norm_value/Max,model_loss/Average,model_loss/Std,model_loss/Median,model_loss/Min,model_loss/Max,actor_loss/Average,actor_loss/Std,actor_loss/Median,actor_loss/Min,actor_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,prior_entropy/Average,prior_entropy/Std,prior_entropy/Median,prior_entropy/Min,prior_entropy/Max,post_entropy/Average,post_entropy/Std,post_entropy/Median,post_entropy/Min,post_entropy/Max,divergence/Average,divergence/Std,divergence/Median,divergence/Min,divergence/Max,reward_loss/Average,reward_loss/Std,reward_loss/Median,reward_loss/Min,reward_loss/Max,image_loss/Average,image_loss/Std,image_loss/Median,image_loss/Min,image_loss/Max,pcont_loss/Average,pcont_loss/Std,pcont_loss/Median,pcont_loss/Min,pcont_loss/Max
1,7,0,65.84739184379578,8,1,0,nan,nan,0.0,0.0,7.0,0.0,7.0,7,7,0.45251322751322753,0.0,0.45251322751322753,0.45251322751322753,0.45251322751322753,4.0,0.0,4.0,4,4,0.44119989784714286,0.0,0.44119989784714286,0.44119989784714286,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,16,1,132.03162598609924,16,2,0,0.1208747083602888,0.0,0.0,0.0,8.0,1.0,8.0,7,9,0.22533068783068783,0.2271825396825397,0.22533068783068783,-0.0018518518518518823,0.45251322751322753,4.5,0.5,4.5,4,5,0.21380411303121966,0.22739578481592324,0.21380411303121966,-0.01359167178470358,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,16,2,178.9935119152069,24,2,0,0.17035090992888519,0.0,0.0,0.0,8.0,1.0,8.0,7,9,0.22533068783068783,0.2271825396825397,0.22533068783068783,-0.0018518518518518823,0.45251322751322753,4.5,0.5,4.5,4,5,0.21380411303121966,0.22739578481592324,0.21380411303121966,-0.01359167178470358,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,25,3,243.77380394935608,32,3,0,0.12349434911134347,0.0,0.0,0.0,8.333333333333334,0.9428090415820634,9.0,7,9,0.1290564373897707,0.2300986748194348,-0.0018518518518518823,-0.06349206349206349,0.45251322751322753,3.3333333333333335,1.699673171197595,4.0,1,5,0.12200064678271787,0.22655753088015573,-0.01359167178470358,-0.061606285714285704,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,25,4,288.87932801246643,40,3,0,0.17736186789020852,0.0,0.0,0.0,8.333333333333334,0.9428090415820634,9.0,7,9,0.1290564373897707,0.2300986748194348,-0.0018518518518518823,-0.06349206349206349,0.45251322751322753,3.3333333333333335,1.699673171197595,4.0,1,5,0.12200064678271787,0.22655753088015573,-0.01359167178470358,-0.061606285714285704,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,42,5,353.491005897522,48,4,0,0.12381662668213067,0.0,0.0,0.0,10.5,3.840572873934304,9.0,7,17,-0.08470419895182926,0.420463885563008,-0.032671957671957685,-0.7259861079766292,0.45251322751322753,4.0,1.8708286933869707,4.5,1,6,-0.06628284783766103,0.3805893576261313,-0.03759897874949464,-0.6311333316987977,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,51,6,416.4812479019165,56,5,0,0.12700379845249488,0.0,0.0,0.0,10.2,3.4871191548325386,9.0,7,17,-0.11323954963765388,0.38038003129139913,-0.06349206349206349,-0.7259861079766292,0.45251322751322753,4.0,1.6733200530681511,4.0,1,6,-0.09774506372992312,0.346176387736111,-0.061606285714285704,-0.6311333316987977,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,62,7,481.0472798347473,64,6,0,0.12390416075627107,0.0,0.0,0.0,10.333333333333334,3.197221015541813,9.0,7,17,-0.3407630553914771,0.6159617427434827,-0.14543650793650792,-1.4783805841605935,0.45251322751322753,4.166666666666667,1.5723301886761007,4.5,1,6,-0.31468433653431366,0.5789458667378503,-0.14260010650662855,-1.3993807005562662,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,62,8,529.7776319980621,72,6,0,0.16416872944379335,0.0,0.0,0.0,10.333333333333334,3.197221015541813,9.0,7,17,-0.3407630553914771,0.6159617427434827,-0.14543650793650792,-1.4783805841605935,0.45251322751322753,4.166666666666667,1.5723301886761007,4.5,1,6,-0.31468433653431366,0.5789458667378503,-0.14260010650662855,-1.3993807005562662,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,62,9,573.6854889392853,80,6,0,0.1821997372977945,0.0,0.0,0.0,10.333333333333334,3.197221015541813,9.0,7,17,-0.3407630553914771,0.6159617427434827,-0.14543650793650792,-1.4783805841605935,0.45251322751322753,4.166666666666667,1.5723301886761007,4.5,1,6,-0.31468433653431366,0.5789458667378503,-0.14260010650662855,-1.3993807005562662,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,84,10,639.6460196971893,88,7,0,0.12128465171638056,0.0,0.0,0.0,12.0,5.0426750270636544,9.0,7,22,-0.6963683540727471,1.0411236104770745,-0.22738095238095235,-2.8300001461603674,0.45251322751322753,5.0,2.5071326821120348,5.0,1,10,-0.6181776859555556,0.9164851219803887,-0.2235939272989714,-2.4391377824830074,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,84,11,685.2435348033905,96,7,0,0.17544815723767404,0.0,0.0,0.0,12.0,5.0426750270636544,9.0,7,22,-0.6963683540727471,1.0411236104770745,-0.22738095238095235,-2.8300001461603674,0.45251322751322753,5.0,2.5071326821120348,5.0,1,10,-0.6181776859555556,0.9164851219803887,-0.2235939272989714,-2.4391377824830074,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,97,12,751.2826597690582,104,8,0,0.12114030893290943,0.0,0.0,0.0,12.125,4.728570079844435,10.0,7,22,-0.8055542226835825,1.0158232883165923,-0.4766835301787908,-2.8300001461603674,0.45251322751322753,5.375,2.54644359843292,5.0,1,10,-0.7250821773898202,0.9027468352100234,-0.42736362949888457,-2.4391377824830074,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,106,13,817.6559717655182,112,9,0,0.12053037221386033,0.0,0.0,0.0,11.777777777777779,4.565030796483142,9.0,7,22,-0.7049370868298511,0.9991157091628614,-0.22738095238095235,-2.8300001461603674,0.45251322751322753,4.888888888888889,2.7666443551086073,5.0,1,10,-0.6340566004642735,0.8892057626510779,-0.2235939272989714,-2.4391377824830074,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,115,14,880.4406039714813,120,10,0,0.12741971592277926,0.0,0.0,0.0,11.5,4.410215414239989,9.0,7,22,-0.5910439072473951,1.0075484541524646,-0.14543650793650792,-2.8300001461603674,0.45251322751322753,4.7,2.6851443164195103,4.5,1,10,-0.5289627877274075,0.9005668130565547,-0.14260010650662855,-2.4391377824830074,0.44119989784714286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
